Wilayah,bap_tilang,Bulan
Bidang Dalops,44,Januari
Sudinhub Jakarta Pusat,47,Januari
Sudinhub Jakarta Utara,166,Januari
Sudinhub Jakarta Selatan,44,Januari
Sudinhub Jakarta Barat,184,Januari
Sudinhub Jakarta Timur,191,Januari
Bidang Dalops,37,Februari
Sudinhub Jakarta Pusat,48,Februari
Sudinhub Jakarta Utara,251,Februari
Sudinhub Jakarta Selatan,129,Februari
Sudinhub Jakarta Barat,229,Februari
Sudinhub Jakarta Timur,276,Februari
Bidang Dalops,90,Maret
Sudinhub Jakarta Pusat,68,Maret
Sudinhub Jakarta Utara,323,Maret
Sudinhub Jakarta Selatan,479,Maret
Sudinhub Jakarta Barat,270,Maret
Sudinhub Jakarta Timur,253,Maret
Bidang Dalops,78,April
Sudinhub Jakarta Pusat,93,April
Sudinhub Jakarta Utara,293,April
Sudinhub Jakarta Selatan,454,April
Sudinhub Jakarta Barat,233,April
Sudinhub Jakarta Timur,274,April
Bidang Dalops,47,Mei
Sudinhub Jakarta Pusat,30,Mei
Sudinhub Jakarta Utara,174,Mei
Sudinhub Jakarta Selatan,203,Mei
Sudinhub Jakarta Barat,156,Mei
Sudinhub Jakarta Timur,162,Mei
Bidang Dalops,113,Juni
Sudinhub Jakarta Pusat,24,Juni
Sudinhub Jakarta Utara,365,Juni
Sudinhub Jakarta Selatan,390,Juni
Sudinhub Jakarta Barat,176,Juni
Sudinhub Jakarta Timur,217,Juni
Bidang Dalops,72,Juli
Sudinhub Jakarta Pusat,12,Juli
Sudinhub Jakarta Utara,224,Juli
Sudinhub Jakarta Selatan,95,Juli
Sudinhub Jakarta Barat,36,Juli
Sudinhub Jakarta Timur,104,Juli
